"country_name","avg_tb_cases"
"India","4020833"
"Indonesia","828750"
"China","673962"
"Pakistan","644167"
"Bangladesh","613750"
"Philippines","562917"
"Nigeria","430417"
"Myanmar","348750"
"South Africa","286250"
"Democratic Republic of the Congo","285000"
"Viet Nam","280000"
"Ethiopia","249167"
"Russian Federation","232500"
"Cambodia","162500"
"Brazil","135417"
"Thailand","133333"
"Mozambique","120417"
"Democratic People's Republic of Korea","111042"
"Madagascar","92375"
"Kenya","88292"
"Sudan","88250"
"Uganda","86708"
"Republic of Korea","82875"
"Afghanistan","81167"
"Azerbaijan","77913"
"United Republic of Tanzania","76458"
"Ukraine","68333"
"Côte d'Ivoire","66750"
"Kazakhstan","64500"
"Peru","62333"
"Cameroon","61292"
"Angola","58708"
"Nepal","56875"
"Romania","53792"
"Mexico","53458"
"Japan","51292"
"Zambia","51000"
"Zimbabwe","50667"
"Lao People's Democratic Republic","48792"
"Morocco","46292"
"Somalia","44792"
"Niger","42458"
"Algeria","40833"
"Central African Republic","39083"
"Ghana","37625"
"Guinea","34792"
"Uzbekistan","34292"
"Malawi","33417"
"Papua New Guinea","30958"
"Haiti","30333"
"South Sudan","29333"
"Egypt","28417"
"Burundi","27792"
"Yemen","27708"
"Iran","26083"
"Sierra Leone","25750"
"Colombia","25417"
"Malaysia","24875"
"United States of America","24500"
"Turkey","24292"
"Bolivia","23792"
"Senegal","23750"
"Ecuador","21708"
"Sri Lanka","20583"
"Argentina","20208"
"Namibia","19983"
"Chad","19942"
"Georgia","19717"
"Tajikistan","19667"
"Iraq","17250"
"Poland","16667"
"Guatemala","14542"
"Kyrgyzstan","14192"
"Burkina Faso","13833"
"Lesotho","13138"
"Mali","12833"
"Congo","12788"
"Germany","12483"
"Turkmenistan","12396"
"Dominican Republic","11775"
"Liberia","11750"
"Venezuela (Bolivarian Republic of)","11663"
"Mauritania","11504"
"Botswana","11275"
"Mongolia","11179"
"Spain","10967"
"France","10246"
"Benin","10196"
"Gabon","10025"
"Belarus","9788"
"United Kingdom","9775"
"Eritrea","9467"
"Rwanda","8821"
"Republic of Moldova","8204"
"Timor-Leste","7675"
"Serbia","7671"
"Honduras","7621"
"Syrian Arab Republic","7317"
"Swaziland","6454"
"Djibouti","6238"
