"country_name","avg_case_detection_rate"
"Iraq","122.4"
"The Former Yugoslav Republic of Macedonia","93.2"
"Lebanon","91.4"
"Eritrea","89.1"
"United Kingdom","89.0"
"Jordan","88.1"
"Canada","87.3"
"Belgium","87.3"
"Republic of Korea","87.2"
"Norway","87.1"
"Singapore","87.0"
"Montenegro","87.0"
"Netherlands","87.0"
"Oman","87.0"
"Slovenia","87.0"
"United States of America","87.0"
"Curaçao","87.0"
"Portugal","87.0"
"Sint Maarten (Dutch part)","87.0"
"Kuwait","87.0"
"Nicaragua","87.0"
"Switzerland","87.0"
"Ireland","86.9"
"Poland","86.9"
"Chile","86.9"
"Japan","86.9"
"Germany","86.9"
"Croatia","86.9"
"Finland","86.9"
"Estonia","86.9"
"Slovakia","86.9"
"Luxembourg","86.8"
"Uruguay","86.8"
"Denmark","86.8"
"Sweden","86.8"
"Czech Republic","86.7"
"Iceland","86.7"
"Belize","86.7"
"New Zealand","86.7"
"Israel","86.6"
"Trinidad","86.6"
"Malta","86.5"
"Italy","86.5"
"Bahamas","86.3"
"Bahrain","86.2"
"Saint Lucia","86.2"
"Austria","86.2"
"New Caledonia","86.2"
"Puerto Rico","86.2"
"French Polynesia","86.2"
"Andorra","86.2"
"Tunisia","86.1"
"Cyprus","86.0"
"Spain","86.0"
"Australia","86.0"
"El Salvador","86.0"
"Saudi Arabia","85.4"
"Turkey","85.4"
"Northern Mariana Islands","85.4"
"Greece","85.4"
"Qatar","84.7"
"Saint Kitts and Nevis","83.9"
"Syrian Arab Republic","83.7"
"Hungary","83.6"
"Wallis and Futuna Islands","83.4"
"Brunei Darussalam","83.1"
"Palau","83.1"
"Antigua and Barbuda","83.1"
"Seychelles","83.1"
"Cook Islands","83.1"
"Morocco","82.5"
"Dominica","82.3"
"Cayman Islands","81.5"
"Guam","81.5"
"France","80.7"
"Peru","80.4"
"Barbados","80.4"
"Albania","79.9"
"Malaysia","79.9"
"Panama","79.9"
"Nauru","79.2"
"Equatorial Guinea","79.0"
"Bulgaria","78.8"
"Marshall Islands","78.0"
"Lithuania","77.9"
"Argentina","77.8"
"Brazil","77.8"
"Paraguay","77.7"
"Netherlands Antilles","77.6"
"Kiribati","76.7"
"San Marino","75.3"
"Turks and Caicos Islands","75.3"
"Bermuda","75.3"
"Armenia","75.3"
"China","74.7"
"United Arab Emirates","74.6"
"Djibouti","74.6"
"British Virgin Islands","74.5"
"Belarus","74.5"
"Maldives","74.2"
