"country_name","avg_mortality"
"Central African Republic","169.13"
"Cambodia","140.04"
"Lao People's Democratic Republic","115.96"
"Namibia","111.75"
"Myanmar","109.88"
"Gabon","105.25"
"Bhutan","104.63"
"Nigeria","98.88"
"Democratic People's Republic of Korea","96.92"
"Mozambique","90.38"
"Somalia","86.21"
"Madagascar","83.46"
"Ethiopia","82.13"
"Democratic Republic of the Congo","77.63"
"Sierra Leone","76.79"
"Djibouti","72.67"
"Timor-Leste","70.58"
"Bangladesh","68.08"
"Papua New Guinea","67.50"
"Lesotho","64.21"
"Botswana","63.71"
"Tuvalu","62.45"
"Niger","61.33"
"Guinea-Bissau","61.33"
"Guinea","59.25"
"Micronesia (Federated States of)","59.08"
"Pakistan","58.83"
"Côte d'Ivoire","58.13"
"Burundi","56.50"
"Indonesia","56.29"
"Mauritania","55.38"
"Haiti","54.75"
"Afghanistan","53.83"
"Cameroon","50.88"
"Liberia","50.08"
"South Africa","50.00"
"Solomon Islands","46.00"
"Swaziland","43.75"
"Uganda","43.21"
"Cabo Verde","41.46"
"Angola","41.00"
"Philippines","40.13"
"Zambia","38.79"
"Congo","38.29"
"South Sudan","35.67"
"India","34.58"
"Sudan","33.67"
"Zimbabwe","33.42"
"Viet Nam","33.00"
"Chad","29.75"
"Kiribati","28.96"
"Malawi","27.39"
"Ghana","25.95"
"Senegal","25.83"
"Marshall Islands","25.65"
"Nepal","25.08"
"Kazakhstan","24.94"
"Gambia","23.50"
"Turkmenistan","22.71"
"Kenya","20.29"
"United Republic of Tanzania","19.54"
"Benin","18.96"
"Yemen","18.75"
"Ukraine","18.10"
"Eritrea","18.05"
"Russian Federation","17.06"
"Greenland","17.05"
"Sao Tome and Principe","16.93"
"Thailand","16.92"
"Montserrat","16.64"
"Burkina Faso","16.48"
"Kyrgyzstan","16.30"
"Peru","15.60"
"Mali","14.16"
"Guyana","14.09"
"Republic of Moldova","14.07"
"Vanuatu","13.99"
"Azerbaijan","13.11"
"Palau","13.06"
"Algeria","12.75"
"Uzbekistan","12.27"
"Tajikistan","12.18"
"Morocco","11.39"
"Ecuador","11.12"
"Togo","11.07"
"Niue","10.13"
"Lithuania","10.09"
"Wallis and Futuna Islands","9.63"
"Northern Mariana Islands","9.56"
"Mongolia","9.14"
"Romania","8.75"
"Maldives","8.73"
"Belarus","8.57"
"Latvia","8.52"
"Dominican Republic","8.38"
"Comoros","8.26"
"Republic of Korea","7.95"
"Sri Lanka","7.82"
"Equatorial Guinea","7.63"
"Rwanda","6.79"
